Tíðni	Orðmynd	Mark (Gull)	Mark (Nefnir)	Lemma (Gull)	Lemma (Nefnir)
4	Fylgist	sbm2fn	so-bh-mm-2p-ft-nt	fylgja	fylgast
4	vötn	nhfn	no-hk-ft-nf	vötn	vatn
4	Bjöllunni	nveþgs	no-kvk-et-þgf-gr-s	Bjalla	Bjallan
4	330xi	ta	to	330xi	330x
4	heilbrigðis-	kt	ób-sk	heilbrigðisráðherra	heilbrigðis-
4	áfengis-	kt	ób-sk	áfengisvörn	áfengis-
4	Hox-genin	nhfngs	no-hk-ft-nf-gr-s	hox-gen	Hox-gen
4	lifanda	lheþof	lo-ób	lifandi	lifanda
4	R	x	ób-x	r	R
4	Bryggjuhverfi	nheo-s	no-hk-et-þf-s	bryggjuhverfi	Bryggjuhverfi
4	jake	n----s	no-x-s	jake	Jake
4	aðra	lveosf	lo-kvk-et-þf-sb-fst	aðra	annar
4	Þ	nken-s	no-kk-et-nf-s	þ	Þ
4	UPPL.	kt	ób-sk	uppl.	UPPL.
4	McQueen	n----s	no-x-s	McQueen	Mcqueen
4	P	n----s	no-x-s	P.	P
4	McCool	n----s	no-x-s	McCool	Mccool
4	Z	nkeo-s	no-kk-et-þf-s	z	Zur
4	Kippi	nken	no-kk-et-nf	Kippi	kippi
4	Kanínus	nken	no-kk-et-nf	Kanínus	kanínus
4	Ö	n----s	no-x-s	Ö.	Ö
4	Viðskiptablaðið	nhengs	no-hk-et-nf-gr-s	Viðskiptablað	Viðskiptablaðið
4	SÍF-samstæðunnar	nveegs	no-kvk-et-ef-gr-s	SÍF-samstæðan	SÍF-samstæða
4	sek	x	ób-x	sek.	sek
4	Thà	x	ób-x	þá	Thà
4	òla	x	ób-x	Óli	òla
4	hammam	n----s	no-x-s	hammam	Hammam
4	X	nven-s	no-kvk-et-nf-s	x	X
4	U-19	x	ób-x	u-19	U-19
3	Caprí-tríó	nhen-s	no-hk-et-nf-s	Caprítríó	Caprí-tríó
3	Matt	n----s	no-x-s	Matt.	Matt
3	flest	aae	ao-est	margur	flest
3	ku	sfg3en	so-fh-gm-3p-et-nt	kveða	kua
3	Hegðunar-	kt	ób-sk	hegðunarvandi	Hegðunar-
3	Greiningarstöð	nveþ-s	no-kvk-et-þgf-s	greiningarstöð	Greiningarstöð
3	hegðunarerfiðleikum	nkfþ	no-kk-ft-þgf	hegðunarerfiðleiki	hegðunarerfiðleikar
3	verri	lkeovm	lo-kk-et-þf-vb-mst	verri	slæmur
3	jeeeeeeeee	au	ób-uh	jee	jeeeeeeeee
3	jeeeeeeeeeeee	au	ób-uh	jee	jeeeeeeeeeeee
3	smá	lvenof	lo-ób	smár	smá
3	hehehehe	au	ób-uh	hehe	hehehehe
3	mmmm	au	ób-uh	mmm	mmmm
3	hahahah	au	ób-uh	haha	hahahah
3	stefán	nken	no-kk-et-nf	Stefán	stefán
3	palli	nken	no-kk-et-nf	Palli	palli
3	Halaleikhópnum	nkeþgs	no-kk-et-þgf-gr-s	halaleikhópur	Halaleikhópurinn
3	Lónið	nheogs	no-hk-et-þf-gr-s	Lón	Lónið
3	þvínæst	aa	ao	þvínátt	þvínæst
3	NaCl	x	ób-x	nacl	NaCl
3	V6	x	ób-x	v6	V6
3	DaimlerChrysler	n----s	no-x-s	DaimlerChrysler	Daimlerchrysler
3	WiLL	n----s	no-x-s	WiLL	Will
3	GT-R	x	ób-x	gt-r	GT-R
3	Fella-	kt	ób-sk	Fellakirkja	Fella-
3	Jesú	nken-s	no-kk-et-nf-s	Jesús	Jesú
3	kveður	sfg3en	so-fh-gm-3p-et-nt	kveðja	kveða
3	hvorutveggja	fohen	fn-ó-hk-et-nf	hvorutveggi	hvorutveggja
3	Rc3	x	ób-x	rc3	Rc3
3	Be7	ta	to	be7	Be7
3	Bg5	ta	to	bg5	Bg5
3	Rc6	x	ób-x	rc6	Rc6
3	Rd5	x	ób-x	rd5	Rd5
3	O-O	x	ób-x	o-o	O-O
3	Bf6	ta	to	bf6	Bf6
3	Dd1	ta	to	dd1	Dd1
3	Björnss	n----s	no-x-s	Björnss.	Björnss
3	sumarbrids	nheþ	no-hk-et-þgf	sumarbrid	sumarbrids
3	Gullsmárabrids	nhen-s	no-hk-et-nf-s	gullsmárabrids	Gullsmárabrids
3	raf-	kt	ób-sk	rafiðnaður	raf-
3	Kvörtunar-	kt	ób-sk	kvörtunarnefnd	Kvörtunar-
3	Leiðbeiningar-	kt	ób-sk	leiðbeiningaþjónusta	Leiðbeiningar-
3	Dr.	ks	ób-sk	dr.	Dr.
3	okkar	x	ób-x	ég	okkar
3	útvarpslaga	nhfe	no-hk-ft-ef	útvarpslag	útvarpslög
3	Flugleiðir	nvfn-s	no-kvk-ft-nf-s	Flugleið	Flugleiðir
3	kjaraviðræðum	nvfþ	no-kvk-ft-þgf	kjaraviðræða	kjaraviðræður
3	Hverfisbarnum	nkeþgs	no-kk-et-þgf-gr-s	hverfisbar	Hverfisbarinn
3	iPod	nkeo	no-kk-et-þf	iPod	ipodur
3	innar	aam	ao-mst	innar	inni
3	máttarvöld	nhfo	no-hk-ft-þf	máttarvöld	máttarvald
3	máttarvöldin	nhfog	no-hk-ft-þf-gr	máttarvöld	máttarvald
3	Beinsk.	kt	ób-sk	beinsk.	Beinsk.
3	Flutningaþj.	kt	ób-sk	flutningaþj.	Flutningaþj.
3	Erosnudd	nhen-s	no-hk-et-nf-s	erosnudd	Erosnudd
3	MÁLNINGAR-	kt	ób-sk	málningarþjónusta	MÁLNINGAR-
3	EHF	ks	ób-sk	ehf	EHF
3	Dauðarósum	nvfþ-s	no-kvk-ft-þgf-s	dauðarós	Dauðarósir
3	ríkara	lkeþvm	lo-kk-et-þgf-vb-mst	ríkur	ríkara
3	Ríkisútvarpsins	nheegs	no-hk-et-ef-gr-s	Ríkisútvarp	Ríkisútvarpið
3	Olíufélagsins	nheegs	no-hk-et-ef-gr-s	Olíufélag	Olíufélagið
3	Ríkislögreglustjóra	nkee-s	no-kk-et-ef-s	ríkislögreglustjóri	Ríkislögreglustjóri
3	einhverstaðar	aa	ao	einhversstaðar	einhverstaðar
3	vörðu	sfg3fþ	so-fh-gm-3p-ft-þt	verja	vara
3	kyssann	x	ób-x	kyssa	kyssann
3	einarr	x	ób-x	Einar	einarr
3	eldari	x	ób-x	Eldar	eldari
3	msn	n----s	no-x-s	msn	Msn
3	eilega	aa	ao	eiginlega	eilega
3	e	ks	ób-sk	e.	e
3	trúnaðarupplýsingum	nvfþ	no-kvk-ft-þgf	trúnaðarupplýsing	trúnaðarupplýsingar
3	verra	lheovm	lo-hk-et-þf-vb-mst	verri	slæmur
3	Sp	n----s	no-x-s	Sp.	Sp
3	Gólfþjónusta	nven-s	no-kvk-et-nf-s	gólfþjónusta	Gólfþjónusta
3	Fjöllum	nhfþ-s	no-hk-ft-þgf-s	Fjall	Fjöll
3	Höfuðborgarsvæðisins	nheegs	no-hk-et-ef-gr-s	Höfuðborgarsvæði	Höfuðborgarsvæðið
3	Menningarnótt	nveo-s	no-kvk-et-þf-s	menningarnótt	Menningarnótt
3	Evrópuþingið	nhengs	no-hk-et-nf-gr-s	Evrópuþing	Evrópuþingið
3	tíman	x	ób-x	tími	tíman
3	þrjúleytið	nheog	no-hk-et-þf-gr	þrjúleyti	þrjúleytið
3	hahahahahaha	au	ób-uh	haha	hahahahahaha
3	Olís-öryggi	nhen-s	no-hk-et-nf-s	olís-öryggi	Olís-öryggi
3	nýjir	lkfnsf	lo-kk-ft-nf-sb-fst	nýr	nýur
3	Hafnafirði	nkeþ-s	no-kk-et-þgf-s	Hafnarfjörður	Hafnafjörður
3	Mp3	ta	to	MP3	Mp3
3	McDonald	n----s	no-x-s	McDonald	Mcdonald
3	mundu	sng	so-nh-gm	munu	mundu
3	ofar	afm	ao-mst	ofar	uppi
3	VIII	ta	to	viii	vii
3	Straumi-Burðarási	nkeþ-s	no-kk-et-þgf-s	Straumur-Burðarás	Straumi-Burðarás
3	eldast	snm	so-nh-mm	elda	eldast
3	Listhúsinu	nheþgs	no-hk-et-þgf-gr-s	listhús	Listhúsið
3	versta	lheþve	lo-hk-et-þgf-vb-est	verri	slæmur
3	skemmt	sþghen	so-lhþt-gm-hk-et-nf	skemma	skemmta
3	Brocasvæðið	nhengs	no-hk-et-nf-gr-s	Brocasvæði	Brocasvæðið
3	R2	x	ób-x	r2	R2
3	Pt	x	ób-x	pt	Pt
3	Kauphöllinni	nveþgs	no-kvk-et-þgf-gr-s	Kauphöll	Kauphöllin
3	Úrvalsvísitölunnar	nveegs	no-kvk-et-ef-gr-s	úrvalsvísitala	Úrvalsvísitala
3	Heldur	aam	ao-mst	heldur	gjarnan
3	atvinnu-	kt	ób-sk	atvinnulíf	atvinnu-
3	Eigið	lhensf	lo-hk-et-nf-sb-fst	eiginn	eigin
3	björk	nven	no-kvk-et-nf	Björk	björk
3	mmmmm	au	ób-uh	mmm	mmmmm
3	breakbeat	n----s	no-x-s	breakbeat	Breakbeat
3	sumarnóttu	nveþ	no-kvk-et-þgf	sumarnótta	sumarnótt
3	úrelt	lhensf	lo-hk-et-nf-sb-fst	úreldur	úreltur
3	FRÍKIRKJAN	nvengs	no-kvk-et-nf-gr-s	Fríkirkja	Fríkirkjan
3	Básum	nkfþ-s	no-kk-ft-þgf-s	Bás	Básar
3	ráðizt	sþghen	so-lhþt-gm-hk-et-nf	ráða	ráðiza
3	fasteignum	nvfþ	no-kvk-ft-þgf	fasteignir	fasteign
3	Netsins	nheegs	no-hk-et-ef-gr-s	Net	Netið
3	Dómkirkjunni	nveþgs	no-kvk-et-þgf-gr-s	Dómkirkja	Dómkirkjan
3	Ráðhúsinu	nheþgs	no-hk-et-þgf-gr-s	Ráðhús	Ráðhúsið
3	brýnnar	x	ób-x	brýnn	brýnnar
3	-reglan	nveng	no-kvk-et-nf-gr	regla	-regla
3	Furðufiskar	nkfn-s	no-kk-ft-nf-s	furðufiskur	Furðufiskur
3	Bakaríið	nhengs	no-hk-et-nf-gr-s	Bakarí	Bakaríið
3	stöku	lvenof	lo-ób	stökuur	stöku
3	Íslandsmyndagerðar	nvee-s	no-kvk-et-ef-s	Íslandsmyndagerð	Íslandsmyndagerður
3	Brocasvæðinu	nheþgs	no-hk-et-þgf-gr-s	Brocasvæði	Brocasvæðið
3	Ríkissjónvarpsins	nheegs	no-hk-et-ef-gr-s	ríkissjónvarp	Ríkissjónvarp
3	Íhaldsflokksins	nkeegs	no-kk-et-ef-gr-s	Íhaldsflokkur	Íhaldsflokkurinn
3	Ferðamálastofa	nven-s	no-kvk-et-nf-s	ferðamálastefna	Ferðamálastofa
3	adda	nven	no-kvk-et-nf	Adda	adda
3	ice	n----s	no-x-s	ice	Ice
3	Mr	n----s	no-x-s	mr.	Mr
3	Einingarsamtaka	nhfe-s	no-hk-ft-ef-s	einingarsamtök	Einingarsamtök
3	Grikkja	nkfe-s	no-kk-ft-ef-s	Grikkur	Grikki
3	Grikkir	nkfn-s	no-kk-ft-nf-s	Grikkur	Grikki
3	eldist	sfm3en	so-fh-mm-3p-et-nt	elda	eldast
3	Kirkjugarðaráð	nhen	no-hk-et-nf	Kirkjugarðaráð	kirkjugarðaráð
3	skipulags-	kt	ób-sk	skipulagsmál	skipulags-
3	Kirkjugarðasambands	nhee-s	no-hk-et-ef-s	kirkjugarðasamband	Kirkjugarðasamband
3	Kirkjugarðasamband	nhen-s	no-hk-et-nf-s	kirkjugarðasamband	Kirkjugarðasamband
3	H-Q	nhen	no-hk-et-nf	h-q	H-Q
3	mjööööög	aa	ao	mjög	mjööööög
3	Þjóðleikhúsið	nhengs	no-hk-et-nf-gr-s	Þjóðleikhús	Þjóðleikhúsið
3	Jarðborana	nvfe-s	no-kvk-ft-ef-s	Jarðborun	Jarðboranir
3	McConaughey	n----s	no-x-s	McConaughey	Mcconaughey
3	Vísi	nkeþ-s	no-kk-et-þgf-s	Vísir	Vís
3	vatna	nhfe	no-hk-ft-ef	vötn	vatn
3	efnahags-	kt	ób-sk	efnahagsnefnd	efnahags-
3	the	n----s	no-x-s	the	The
3	meir	lheosm	lo-sb-mst	mikill	meir
3	verki	svg3en	so-vh-gm-3p-et-nt	verka	verkja
3	utar	aam	ao-mst	utar	úti
3	Dauðsmannsbjöllunni	nveþgs	no-kvk-et-þgf-gr-s	Dauðsmannsbjalla	Dauðsmannsbjallan
3	D12	ta	to	d12	D12
3	Blindrafélagið	nheng	no-hk-et-nf-gr	blindrafélagið	blindrafélag
3	tugr	x	ób-x	tugur	tugr
3	fjöru-	nveþ	no-kvk-et-þgf	fjara	fjöru-
3	yfirburðum	nkfþ	no-kk-ft-þgf	yfirburðir	yfirburður
3	-kund	x	ób-x	kund	-kund
3	björgunar-	kt	ób-sk	björgunarstarf	björgunar-
3	h.	x	ób-x	h	h.
3	Frístundakortsins	nheegs	no-hk-et-ef-gr-s	frístundakort	Frístundakort
3	2GB	ks	ób-sk	2gb	2GB
3	1GB	ks	ób-sk	1gb	1GB
3	Kryddpíurnar	nvfngs	no-kvk-ft-nf-gr-s	kryddpía	Kryddpía
3	íslenzka	lvenvf	lo-kvk-et-nf-vb-fst	íslenskur	íslenzkur
3	finnast	x	ób-x	finna	finnast
3	barna-	kt	ób-sk	barnageðdeild	barna-
3	dalir	nkfn	no-kk-ft-nf	dalir	dalur
3	sína	x	ób-x	sinn	sína
3	Miðausturlöndum	nhfþ-s	no-hk-ft-þgf-s	Miðausturland	Miðausturlönd
3	Reykjavíkursvæðinu	nheþgs	no-hk-et-þgf-gr-s	Reykjavíkursvæði	Reykjavíkursvæðið
3	Íhaldið	nhengs	no-hk-et-nf-gr-s	Íhald	Íhaldið
3	Dómarabókin	nvengs	no-kvk-et-nf-gr-s	dómarabók	Dómarabók
3	Tinda-skata	nven	no-kvk-et-nf	tinda-skata	Tinda-skata
3	grunn-	kt	ób-sk	grunnskóli	grunn-
3	systkina	nhfe	no-hk-ft-ef	systkin	systkini
3	Bjölluna	nveogs	no-kvk-et-þf-gr-s	Bjalla	Bjallan
3	Bjöllunnar	nveegs	no-kvk-et-ef-gr-s	Bjalla	Bjallan
3	Önnur	lvensf	lo-kvk-et-nf-sb-fst	önnur	annar
3	Heyrnar-	kt	ób-sk	Heyrnarstöð	Heyrnar-
3	lograr	nkfn	no-kk-ft-nf	logri	logur
3	B.	x	ób-x	b.	B.
3	HERBALIFE	n----s	no-x-s	HERBALIFE	Herbalife
3	Hox-gen	nhfn-s	no-hk-ft-nf-s	hox-gen	Hox-gen
3	Hox-prótína	nhfe-s	no-hk-ft-ef-s	hox-prótín	Hox-prótín
3	aðskildir	lkfnsf	lo-kk-ft-nf-sb-fst	aðskildur	aðskilinn
3	jóa	x	ób-x	Jói	jóa
3	Leikhúskjallarans	nkeegs	no-kk-et-ef-gr-s	leikhúskjallari	Leikhúskjallarinn
3	Netið	nheogs	no-hk-et-þf-gr-s	Net	Netið
3	jólaleytið	nheog	no-hk-et-þf-gr	jólaleyti	jólaleytið
3	Mannréttindaskrifstofu	nvee-s	no-kvk-et-ef-s	mannréttindaskrifstofa	Mannréttindaskrifstofa
3	Humarvinnslunnar	nveegs	no-kvk-et-ef-gr-s	Humarvinnsla	Humarvinnslan
3	Koddamaðurinn	nkengs	no-kk-et-nf-gr-s	koddamaður	Koddamaður
3	Sn	x	ób-x	sn	Sn
3	svosum	aa	ao	svosem	svosum
3	Bayonneskinka	nven-s	no-kvk-et-nf-s	bayonneskinka	Bayonneskinka
3	gr	ks	ób-sk	gr.	gr
3	engin	x	ób-x	enginn	engin
3	Vísindakirkjunnar	nveegs	no-kvk-et-ef-gr-s	Vísindakirkjan	Vísindakirkja
3	Vísindakirkjan	nvengs	no-kvk-et-nf-gr-s	Vísindakirkjan	Vísindakirkja
3	fötin	nhfng	no-hk-ft-nf-gr	fat	föt
3	Koddamanninum	nkeþgs	no-kk-et-þgf-gr-s	koddamaður	Koddamaður
3	stofn-	kt	ób-sk	stofnvegur	stofn-
3	gæða-	kt	ób-sk	gæðafulltrúi	gæða-
3	brenda	n----s	no-x-s	brenda	Brenda
3	JOHN	n----s	no-x-s	John	JOHN
3	skýja-	kt	ób-sk	skýjakerfi	skýja-
3	elli-	kt	ób-sk	ellilífeyrir	elli-
3	Rvk	n----s	no-x-s	Rvk.	Rvk
3	hermann	nkeo	no-kk-et-þf	hermann	hermaður
3	Gull-	kt	ób-sk	gullhöll	Gull-
3	Þ	nkeo-s	no-kk-et-þf-s	þ	Þur
3	av	n----s	no-x-s	av	Av
3	saabinum	nkeþg	no-kk-et-þgf-gr	saabi	saabur
3	Þriðjud	ks	ób-sk	Þriðjud.	Þriðjud
3	brandon	n----s	no-x-s	brandon	Brandon
3	Can't	e	ób-e	can't	Can't
3	A-deild	nveo-s	no-kvk-et-þf-s	a-deild	A-deild
3	Þrumukettir	nkfn-s	no-kk-ft-nf-s	Þrumukettir	Þrumuköttur
3	Æ	nkeo-s	no-kk-et-þf-s	Æ	Ær
3	SMITH	n----s	no-x-s	SMITH	Smith
3	Grandrokk	nheþ-s	no-hk-et-þgf-s	grandrokk	Grandrokk
3	lambkjöt	nheo	no-hk-et-þf	lambakjöt	lambkjöt
3	Eg	fp1en	fn-p-1p-et-nf	ég	eg
3	O	x	ób-x	o	O
3	alþingismanna-	kt	ób-sk	alþingismannadeild	alþingismanna-
3	EK.	ks	ób-sk	ek.	EK.
2	Hana-nú	aa	ao	hananú	Hana-nú
2	Félags-	kt	ób-sk	félagsmiðstöð	Félags-
2	Kakóbar	nkeo-s	no-kk-et-þf-s	kakóbar	Kakóbar
2	Göngu-hrólfar	nkfn-s	no-kk-ft-nf-s	Göngu-Hrólfar	Göngu-hrólfur
2	Hafnarfjallsmegin	aa	ao	Hafnarfjallsmegin	hafnarfjallsmegin
2	Landmælinga	nvfe-s	no-kvk-ft-ef-s	Landmæling	Landmælingar
2	Hana-nú	n-ee-s	no-x-s	hananú	Hana-nú
2	Gigtarfélagið	nhengs	no-hk-et-nf-gr-s	gigtarfélag	Gigtarfélag
2	Bridssambands	nhee-s	no-hk-et-ef-s	bridssamband	Bridssamband
2	Fríkirkjunnar	nveegs	no-kvk-et-ef-gr-s	Fríkirkja	Fríkirkjan
2	sýningar-	kt	ób-sk	sýningarstjóri	sýningar-
2	safn-	kt	ób-sk	safnstjóri	safn-
2	verð	x	ób-x	verða	verð
2	föt	nhfn	no-hk-ft-nf	fat	föt
2	fallin	x	ób-x	fallinn	fallin
2	XXI.	ta	to	xxi.	XXI.
2	leik-	kt	ób-sk	leikskólakennari	leik-
2	leik-	kt	ób-sk	leikskóli	leik-
2	jan	x	ób-x	jan.	jan
2	Einhverfa	nven-s	no-kvk-et-nf-s	einhverfa	Einhverfa
2	Heilsugæslustöðina	nveogs	no-kvk-et-þf-gr-s	Heilsugæslustöð	Heilsugæslustöðin
2	úlfar	nken	no-kk-et-nf	Úlfar	úlfar
2	rottweiler	n----s	no-x-s	rottweiler	Rottweiler
2	XXX	x	ób-x	xxx	XXX
2	jonna	nkeo	no-kk-et-þf	Jonni	jonni
2	leaves	n----s	no-x-s	leaves	Leaves
2	funerals	n----s	no-x-s	funerals	Funerals
2	egill	nken	no-kk-et-nf	Egill	egill
2	óla	nkeþ	no-kk-et-þgf	Óli	óli
2	merkjó	lvenof	lo-ób	merkjór	merkjó
2	eitthva	x	ób-x	eitthvað	eitthva
2	jeeeeee	au	ób-uh	jee	jeeeeee
2	frikki	nken	no-kk-et-nf	Frikki	frikki
2	þráinn	nken	no-kk-et-nf	þrái	þráinn
2	sigurjóni	nkeþ	no-kk-et-þgf	Sigurjón	sigurjónn
2	akkurat	aa	ao	akkúrat	akkurat
2	travis	n----s	no-x-s	travis	Travis
2	iðnó	n-eþ	no-x	Iðnó	iðnó
2	magna	nkeo	no-kk-et-þf	Magni	magni
2	gæji	nken	no-kk-et-nf	gæi	gæji
2	jon	x	ób-x	Jón	jon
2	mike	n----s	no-x-s	mike	Mike
2	heimir	nken	no-kk-et-nf	Heimir	heimir
2	frank	nken	no-kk-et-nf	Frank	frank
2	arnór	nken	no-kk-et-nf	Arnór	arnór
2	gumma	nkeo	no-kk-et-þf	Gummi	gummi
2	Útvarpsins	nheegs	no-hk-et-ef-gr-s	Útvarp	Útvarpið
2	ANNA	nven-s	no-kvk-et-nf-s	Anna	ANNA
2	marz	nkeo	no-kk-et-þf	marz	marzur
2	Bylgjunni	nveþgs	no-kvk-et-þgf-gr-s	Bylgja	Bylgjan
2	fráhrindi-	kt	ób-sk	fráhrindikraftur	fráhrindi-
2	O2	x	ób-x	o2	O2
2	McCarthy	n----s	no-x-s	McCarthy	Mccarthy
2	félags-	kt	ób-sk	félagslega	félags-
2	6HP26	ta	to	6hp26	6HP26
2	V8	x	ób-x	v8	V8
2	X80	x	ób-x	x80	X80
2	CZ3	ta	to	cz3	CZ3
2	Rimar	nkfn-s	no-kk-ft-nf-s	Rimi	Rimar
2	mökum	nhfþ	no-hk-ft-þgf	mak	mök
2	strípum	nvfþ	no-kvk-ft-þgf	strípur	strípa
2	Fjórðungssjúkrahúsinu	nheþgs	no-hk-et-þgf-gr-s	fjórðungssjúkrahús	Fjórðungssjúkrahús
2	háði	sfg3eþ	so-fh-gm-3p-et-þt	há	heyja
2	McBains	n----s	no-x-s	McBains	Mcbains
2	FUGL	nken-s	no-kk-et-nf-s	Fugl	FUGL
2	Rf3	x	ób-x	rf3	Rf3
2	Rb3	x	ób-x	rb3	Rb3
2	Bxf6	ta	to	bxf6	Bxf6
2	Df3	ta	to	df3	Df3
2	Dh5	x	ób-x	dh5	Dh5
2	Re3	x	ób-x	re3	Re3
2	De7	ta	to	de7	De7
2	Rxf5	x	ób-x	rxf5	Rxf5
2	Hd3	x	ób-x	hd3	Hd3
2	33	ta	to	33.	33
2	De6	ta	to	de6	De6
2	He6	x	ób-x	he6	He6
2	Kf7	x	ób-x	kf7	Kf7
2	44	ta	to	44.	44
2	Hxh6	x	ób-x	hxh6	Hxh6
2	Kg7	x	ób-x	kg7	Kg7
2	K97	x	ób-x	k97	K97
2	G82	x	ób-x	g82	G82
2	Varmadal	nkeþ-s	no-kk-et-þgf-s	Varmadalur	Varmidalur
2	Ragnhildard	n----s	no-x-s	Ragnhildard.	Ragnhildard
2	Guðjónsd	n----s	no-x-s	Guðjónsd.	Guðjónsd
2	Dc2	ta	to	dc2	Dc2
2	Bxc3	ta	to	bxc3	Bxc3
2	Bd3	ta	to	bd3	Bd3
2	Ba6	ta	to	ba6	Ba6
2	Hf3	x	ób-x	hf3	Hf3
2	Ra5	x	ób-x	ra5	Ra5
2	De2	ta	to	de2	De2
2	Df1	ta	to	df1	Df1
2	He1	x	ób-x	he1	He1
2	Rc4	x	ób-x	rc4	Rc4
2	Bb7	ta	to	bb7	Bb7
2	Rxe5	x	ób-x	rxe5	Rxe5
2	Dd8	ta	to	dd8	Dd8
2	Hc1	x	ób-x	hc1	Hc1
2	34	ta	to	34.	34
2	Steingrímss	n----s	no-x-s	Steingrímss.	Steingrímss
2	Jóh	n----s	no-x-s	Jóh.	Jóh
2	Jóhanness	n----s	no-x-s	Jóhanness.	Jóhanness
2	Magnúss	n----s	no-x-s	Magnúss.	Magnúss
2	Sveinss	n----s	no-x-s	Sveinss.	Sveinss
2	Miðnætursveitakeppni	nven-s	no-kvk-et-nf-s	miðnætursveitakeppni	Miðnætursveitakeppni
2	Guðmundss	n----s	no-x-s	Guðmundss.	Guðmundss
2	Sigurðss	n----s	no-x-s	Sigurðss.	Sigurðss
2	Högum	nkfþ-s	no-kk-ft-þgf-s	Hagur	Hagar
2	Vátryggingafélagið	nhengs	no-hk-et-nf-gr-s	Vátryggingafélag	Vátryggingafélagið
2	Haga	nkfe-s	no-kk-ft-ef-s	Hagi	Hagar
2	neytenda-aðstoðarinnar	nveeg	no-kvk-et-ef-gr	neytendaaðstoð	neytenda-aðstoð
2	inneignarnóta	nvfe	no-kvk-ft-ef	inneignarnóta	inneignarnót
2	brigður	nvfo	no-kvk-ft-þf	brigður	brigða
2	varið	lhensf	lo-hk-et-nf-sb-fst	varið	varinn
2	ofbeldis-	kt	ób-sk	ofbeldisbrot	ofbeldis-
2	Bandríkjunum	nhfþgs	no-hk-ft-þgf-gr-s	Bandaríki	Bandríki
2	annt	lheosf	lo-hk-et-þf-sb-fst	annt	annur
2	Lumière-verksmiðjuna	nveogs	no-kvk-et-þf-gr-s	Lumière-verksmiðja	Lumière-verksmiðjan
2	norður-	kt	ób-sk	norðurljós	norður-
2	H.	nheþ	no-hk-et-þgf	h	H.
2	kvikmynda-	kt	ób-sk	kvikmyndaefni	kvikmynda-
2	Flugleiða	nvfe-s	no-kvk-ft-ef-s	Flugleið	Flugleiðir
2	Flugleiðum	nvfþ-s	no-kvk-ft-þgf-s	Flugleið	Flugleiðir
2	Íbúðalánasjóður	nken-s	no-kk-et-nf-s	íbúðalánasjóður	Íbúðalánasjóður
2	Vegamót	nhen-s	no-hk-et-nf-s	vegamót	Vegamót
2	Eeeeen	c	ób-st	en	eeeeen
2	kómu	sfg3fþ	so-fh-gm-3p-ft-þt	koma	kóma
2	kveldit	nheog	no-hk-et-þf-gr	kveld	kveldit
2	M.BENZ	n----s	no-x-s	M.BENZ	M.Benz
2	MOORE	n----s	no-x-s	MOORE	Moore
2	yfirum	aa	ao	yfira	yfirum
2	Hf.	ks	ób-sk	hf.	Hf.
2	FJÁRMÁL-LAUSNIR	nvfn	no-kvk-ft-nf	fjármál-lausn	FJÁRMÁL-LAUSN
2	málningar-	kt	ób-sk	málningarvinna	málningar-
2	Húsaviðgerðir	nvfn	no-kvk-ft-nf	húsaviðgerðir	húsaviðgerð
2	Lása-	kt	ób-sk	lásaviðgerð	Lása-
2	Glugga-	kt	ób-sk	gluggaþjónusta	Glugga-
2	hurðaþjónustan	nveng	no-kvk-et-nf-gr	hurðaþjónustan	hurðaþjónusta
2	veisluföngum	nhfþ	no-hk-ft-þgf	veislufang	veisluföng
2	Ostabúðin	nvengs	no-kvk-et-nf-gr-s	Ostabúð	Ostabúðin
2	GULLSÓL	nven-s	no-kvk-et-nf-s	gullsól	Gullsól
2	Saumsprettan	nvengs	no-kvk-et-nf-gr-s	Saumspretta	Saumsprettan
2	BREMSUBÚÐIN	nvengs	no-kvk-et-nf-gr-s	bremsubúð	Bremsubúðin
2	Kvikk-þjónustan	nvengs	no-kvk-et-nf-gr-s	Kvikk-þjónusta	Kvikk-þjónustan
2	Búslóða-vörugeymsla	nven	no-kvk-et-nf	búslóðavörugeymsla	Búslóða-vörugeymsla
2	Vörugeymslan	nvengs	no-kvk-et-nf-gr-s	Vörugeymsla	Vörugeymslan
2	PÍPULAGNIR	nvfn	no-kvk-ft-nf	pípulagnir	pípulögn
2	samning	x	ób-x	samningur	samning
2	EHF.	ks	ób-sk	ehf.	EHF.
2	Ahh	au	ób-uh	ah	ahh
2	C	n----s	no-x-s	C.	C
2	Þykkvabænum	nkeþgs	no-kk-et-þgf-gr-s	Þykkvabæur	Þykkvabær
2	veitinga-	kt	ób-sk	veitingastaður	veitinga-
2	félags-	kt	ób-sk	félagslegur	félags-
2	íþrótta-	kt	ób-sk	íþróttastarf	íþrótta-
2	bezt	lhense	lo-hk-et-nf-sb-est	góður	bezt
2	Bókaútgáfan	nvengs	no-kvk-et-nf-gr-s	bókaútgáfa	Bókaútgáfan
2	okkur	x	ób-x	ég	okkur
2	Perlunni	nveþgs	no-kvk-et-þgf-gr-s	Perla	Perlan
2	sínu	x	ób-x	sinn	sínu
2	disk	x	ób-x	diskur	disk
2	Haarde	nkeo-s	no-kk-et-þf-s	Haarde	Haardeur
2	atburðarrásin	nveng	no-kvk-et-nf-gr	atburðarás	atburðarrás
2	nýji	lkenvf	lo-kk-et-nf-vb-fst	nýr	nýji
